Id,Class
0,1
1,1
2,1
3,1
4,1
5,1
6,3
7,3
8,4
9,7
10,7
11,7
12,4
13,2
14,4
15,4
16,4
17,4
18,7
19,7
20,7
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,2
29,2
30,4
31,4
32,4
33,2
34,2
35,2
36,6
37,6
38,6
39,8
40,9
41,9
42,1
43,1
44,1
45,0
46,2
47,2
48,7
49,7
50,7
51,8
52,9
53,8
54,3
55,3
56,3
57,1
58,9
59,9
60,3
61,3
62,3
63,8
64,8
65,4
66,4
67,4
68,4
69,9
70,9
71,9
72,7
73,7
74,7
75,9
76,9
77,9
78,3
79,3
80,3
81,9
82,0
83,0
84,9
85,9
86,9
87,2
88,3
89,3
90,2
91,2
92,2
93,6
94,6
95,6
96,2
97,2
98,2
99,4
100,3
101,3
102,5
103,5
104,5
105,2
106,2
107,2
108,9
109,9
110,8
111,3
112,3
113,3
114,4
115,4
116,4
117,6
118,6
119,6
120,1
121,1
122,1
123,2
124,2
125,2
126,7
127,7
128,7
129,9
130,9
131,9
132,2
133,2
134,2
135,9
136,9
137,9
138,3
139,3
140,3
141,1
142,1
143,1
144,7
145,7
146,7
147,7
148,7
149,7
150,4
151,4
152,3
153,7
154,7
155,7
156,7
157,7
158,7
159,1
160,1
161,1
162,8
163,8
164,9
165,9
166,9
167,9
168,8
169,8
170,9
171,3
172,3
173,3
174,0
175,0
176,9
177,5
178,4
179,5
180,7
181,7
182,7
183,0
184,0
185,2
186,7
187,7
188,7
189,6
190,6
191,6
192,3
193,3
194,3
195,0
196,0
197,1
198,2
199,2
200,2
201,1
202,1
203,1
204,9
205,9
206,9
207,0
208,8
209,0
210,4
211,4
212,4
213,3
214,7
215,3
216,9
217,9
218,9
219,0
220,0
221,0
222,1
223,1
224,1
225,3
226,3
227,3
228,7
229,7
230,7
231,0
232,0
233,1
234,2
235,2
236,2
237,1
238,1
239,7
240,3
241,3
242,3
243,7
244,7
245,7
246,8
247,8
248,8
249,1
250,1
251,1
252,7
253,7
254,7
255,5
256,5
257,5
258,9
259,9
260,9
261,0
262,0
263,0
264,9
265,9
266,9
267,4
268,6
269,6
270,2
271,2
272,2
273,5
274,5
275,5
276,2
277,2
278,2
279,6
280,6
281,6
282,3
283,3
284,3
285,1
286,1
287,1
288,7
289,7
290,7
291,8
292,8
293,8
294,5
295,0
296,5
297,1
298,1
299,1
300,9
301,9
302,9
303,7
304,7
305,7
306,1
307,1
308,1
309,2
310,2
311,2
312,0
313,0
314,0
315,9
316,9
317,9
318,8
319,1
320,8
321,2
322,2
323,2
324,6
325,6
326,6
327,1
328,1
329,1
330,9
331,9
332,9
333,3
334,3
335,3
336,3
337,3
338,3
339,4
340,4
341,4
342,8
343,8
344,4
345,7
346,7
347,1
348,2
349,2
350,2
351,7
352,7
353,7
354,1
355,1
356,1
357,2
358,2
359,2
360,2
361,2
362,2
363,3
364,3
365,3
366,1
367,1
368,1
369,3
370,3
371,3
372,0
373,0
374,0
375,2
376,2
377,2
378,1
379,1
380,1
381,9
382,9
383,9
384,1
385,1
386,1
387,0
388,0
389,0
390,4
391,4
392,4
393,1
394,1
395,8
396,6
397,6
398,6
399,3
400,3
401,3
402,7
403,7
404,7
405,9
406,9
407,9
408,7
409,7
410,7
411,6
412,6
413,9
414,5
415,5
416,5
417,9
418,9
419,9
420,0
421,0
422,0
423,9
424,9
425,9
426,2
427,2
428,2
429,4
430,4
431,4
432,7
433,7
434,7
435,8
436,8
437,8
438,9
439,9
440,9
441,3
442,3
443,1
444,0
445,0
446,0
447,4
448,4
449,0
450,9
451,8
452,8
453,5
454,4
455,5
456,2
457,2
458,2
459,7
460,7
461,7
462,1
463,1
464,1
465,2
466,2
467,2
468,8
469,1
470,8
471,0
472,0
473,5
474,0
475,0
476,0
477,8
478,8
479,8
480,4
481,8
482,9
483,7
484,7
485,7
486,3
487,8
488,6
489,8
490,8
491,8
492,1
493,1
494,1
495,2
496,2
497,2
498,7
499,7
500,7
501,9
502,9
503,9
504,0
505,0
506,0
507,2
508,2
509,2
510,3
511,3
512,3
513,1
514,7
515,7
516,0
517,0
518,0
519,8
520,8
521,8
522,0
523,0
524,0
525,3
526,3
527,3
528,7
529,7
530,7
531,2
532,2
533,2
534,0
535,0
536,0
537,3
538,3
539,3
540,2
541,2
542,2
543,0
544,0
545,0
546,3
547,3
548,3
549,3
550,3
551,3
552,2
553,2
554,2
555,4
556,4
557,4
558,7
559,7
560,7
561,2
562,2
563,2
564,2
565,2
566,2
567,5
568,5
569,5
570,8
571,3
572,3
573,0
574,0
575,0
576,8
577,8
578,8
579,7
580,7
581,7
582,7
583,5
584,7
585,7
586,3
587,7
588,5
589,0
590,4
591,3
592,3
593,3
594,0
595,0
596,0
597,8
598,8
599,8
600,5
601,8
602,8
603,0
604,0
605,0
606,7
607,7
608,7
609,5
610,4
611,5
612,0
613,0
614,0
615,9
616,9
617,9
618,4
619,4
620,5
621,2
622,2
623,2
624,8
625,9
626,9
627,9
628,9
629,9
630,0
631,4
632,0
633,8
634,8
635,8
636,7
637,7
638,3
639,7
640,1
641,1
642,8
643,8
644,8
645,2
646,2
647,2
648,9
649,9
650,0
651,2
652,2
653,2
654,4
655,4
656,4
657,0
658,0
659,0
660,6
661,6
662,6
663,7
664,7
665,7
666,1
667,1
668,1
669,9
670,9
671,9
672,0
673,0
674,0
675,2
676,2
677,2
678,7
679,7
680,7
681,7
682,7
683,7
684,1
685,1
686,1
687,7
688,7
689,3
690,3
691,3
692,3
693,2
694,2
695,2
696,8
697,8
698,8
699,8
700,8
701,8
702,7
703,7
704,7
705,9
706,9
707,9
708,2
709,2
710,2
711,6
712,6
713,6
714,8
715,8
716,8
717,4
718,4
719,4
720,7
721,7
722,7
723,6
724,6
725,6
726,3
727,3
728,4
729,9
730,9
731,9
732,9
733,9
734,9
735,6
736,6
737,6
738,1
739,1
740,1
741,1
742,1
743,1
744,3
745,3
746,8
747,8
748,8
749,2
750,8
751,8
752,8
753,7
754,7
755,7
756,9
757,9
758,9
759,2
760,2
761,2
762,1
763,1
764,1
765,2
766,2
767,2
768,7
769,7
770,7
771,9
772,9
773,9
774,2
775,2
776,2
777,3
778,3
779,3
780,3
781,3
782,3
783,2
784,2
785,2
786,0
787,0
788,0
789,4
790,5
791,5
792,1
793,1
794,1
795,3
796,3
797,3
798,1
799,1
800,1
801,7
802,7
803,7
804,5
805,5
806,5
807,0
808,0
809,0
810,4
811,1
