Id,Class
0,1
1,3
2,5
3,7
4,2
5,2
6,7
7,1
8,1
9,2
10,2
11,2
12,6
13,9
14,1
15,0
16,4
17,8
18,3
19,1
20,3
21,8
22,2
23,1
24,7
25,9
26,3
27,0
28,3
29,2
30,2
31,6
32,2
33,1
34,1
35,2
36,9
37,3
38,2
39,0
40,1
41,2
42,3
43,9
44,2
45,8
46,3
47,1
48,2
49,7
50,5
51,4
52,7
53,0
54,1
55,9
56,8
57,3
58,0
59,1
60,7
61,0
62,7
63,1
64,3
65,2
66,2
67,1
68,2
69,6
70,2
71,7
72,8
73,0
74,1
75,3
76,3
77,1
78,2
79,1
80,3
81,1
82,8
83,8
84,7
85,1
86,8
87,0
88,9
89,1
90,2
91,5
92,2
93,4
94,3
95,5
96,7
97,2
98,5
99,1
100,3
101,4
102,1
103,2
104,6
105,9
106,1
107,2
108,6
109,1
110,8
111,2
112,3
113,2
114,8
115,8
116,2
117,4
118,1
119,2
120,2
121,5
122,1
123,3
124,0
125,2
126,1
127,1
128,4
129,6
130,5
131,8
132,6
133,7
134,0
135,8
136,2
137,0
138,5
139,8
140,6
141,8
142,2
143,2
144,2
145,8
146,9
147,3
148,0
149,0
150,5
151,5
152,2
153,4
154,6
155,2
156,1
157,4
158,1
159,8
160,1
161,7
162,6
163,8
164,1
165,2
166,7
167,8
168,0
169,2
170,3
171,1
172,0
173,8
174,0
175,3
176,7
177,8
178,0
179,8
180,2
181,0
182,7
183,3
184,2
185,2
186,2
187,2
188,2
189,5
190,3
191,1
192,1
193,2
194,2
195,8
196,4
197,3
198,0
199,8
200,8
201,0
202,1
203,4
204,0
205,0
206,2
207,2
208,8
209,9
210,0
211,2
212,7
213,1
214,6
215,2
216,0
217,2
218,2
219,0
220,6
221,2
222,1
223,8
224,0
225,2
226,7
227,7
228,1
229,2
230,3
231,2
232,8
233,6
234,7
235,8
236,2
237,6
238,0
239,2
240,1
241,6
242,4
243,9
244,9
245,4
246,1
247,6
248,6
249,2
250,8
251,1
252,9
253,2
254,1
255,2
256,2
257,0
258,2
259,3
260,3
261,2
262,0
263,5
264,6
265,1
266,1
267,2
268,5
269,1
270,1
271,1
272,0
273,5
274,1
275,7
276,9
277,2
278,5
279,5
280,2
281,3
282,0
283,2
284,2
285,6
286,2
287,7
288,6
289,2
290,1
291,1
292,9
293,1
294,8
295,6
296,8
297,2
298,7
299,1
300,5
301,8
302,8
303,7
304,2
305,2
306,5
307,3
308,6
309,3
310,0
311,1
312,1
313,9
314,6
315,1
316,5
317,8
318,8
319,4
320,5
321,5
322,4
323,3
324,0
325,7
326,2
327,6
328,1
329,8
330,4
331,3
332,5
333,7
334,5
335,5
336,9
337,8
338,4
339,8
340,8
341,1
342,7
343,2
344,8
345,0
346,2
347,2
348,8
349,3
350,7
351,2
352,1
353,1
354,7
355,7
356,1
357,0
358,1
359,0
360,5
361,2
362,3
363,8
364,2
365,7
366,4
367,2
368,2
369,8
370,3
371,0
372,1
373,8
374,3
375,5
376,7
377,0
378,8
379,8
380,2
381,9
382,3
383,3
384,3
385,8
386,7
387,0
388,0
389,0
390,5
391,3
392,7
393,7
394,9
395,8
396,1
397,2
398,1
399,2
400,7
401,8
402,0
403,1
404,1
405,2
406,2
407,7
408,1
409,2
410,8
411,7
412,1
413,1
414,0
415,2
416,9
417,2
418,4
419,2
420,3
421,0
422,2
423,8
424,7
425,2
426,2
427,4
428,3
429,4
430,6
431,1
432,3
433,1
434,8
435,3
436,8
437,0
438,7
439,2
440,2
441,8
442,2
443,8
444,7
445,4
446,5
447,0
448,3
449,7
450,7
451,1
452,8
453,1
454,1
455,2
456,2
457,2
458,0
459,8
460,2
461,9
462,8
463,2
464,0
465,3
466,2
467,7
468,3
469,6
470,1
471,8
472,3
473,9
474,7
475,8
476,8
477,1
478,3
479,2
480,8
481,3
482,3
483,2
484,2
485,2
486,1
487,1
488,4
489,7
490,3
491,0
492,7
493,7
494,3
495,7
496,7
497,6
498,5
499,9
500,2
501,0
502,8
503,1
504,1
505,8
506,0
507,1
508,8
509,7
510,2
511,7
512,2
513,6
514,1
515,7
516,8
517,2
518,2
519,4
520,1
521,2
522,0
523,5
524,3
525,1
526,0
527,6
528,8
529,8
530,1
531,1
532,0
533,2
534,0
535,8
536,0
537,1
538,0
539,1
540,3
541,8
542,7
543,0
544,6
545,2
546,1
547,6
548,4
549,4
550,2
551,0
552,4
553,7
554,1
555,1
556,5
557,2
558,2
559,1
560,8
561,1
562,0
563,2
564,1
565,2
566,2
567,8
568,1
569,9
570,8
571,1
572,3
573,8
574,4
575,4
576,2
577,8
578,7
579,1
580,5
581,8
582,3
583,4
584,5
585,6
586,1
587,3
588,9
589,2
590,8
591,1
592,8
593,7
594,8
595,1
596,7
597,8
598,6
599,3
600,1
601,1
602,0
603,0
604,7
605,2
606,1
607,8
608,8
609,2
610,2
611,1
612,1
613,0
614,1
615,7
616,0
617,8
618,7
619,7
620,0
621,3
622,3
623,0
624,0
625,1
626,1
627,8
628,2
629,3
630,9
631,2
632,1
633,2
634,0
635,1
636,0
637,3
638,1
639,6
640,2
641,0
642,6
643,2
644,2
645,2
646,7
647,5
648,9
649,8
650,5
651,0
652,7
653,3
654,7
655,2
656,6
657,4
658,6
659,7
660,8
661,1
662,3
663,2
664,8
665,5
666,7
667,8
668,9
669,2
670,1
671,0
672,1
673,1
674,6
675,1
676,7
677,3
678,0
679,4
680,0
681,7
682,3
683,2
684,3
685,7
686,5
687,1
688,2
689,8
690,6
691,1
692,2
693,6
694,5
695,2
696,7
697,8
698,2
699,9
700,2
701,2
702,1
703,2
704,3
705,2
706,8
707,2
708,7
709,7
710,1
711,2
712,8
713,6
714,9
715,8
716,7
717,0
718,2
719,0
720,2
721,8
722,2
723,2
724,3
725,7
726,2
727,7
728,0
729,2
730,3
731,1
732,1
733,3
734,2
735,2
736,5
737,1
738,8
739,2
740,6
741,2
742,8
743,1
744,3
745,2
746,8
747,2
748,7
749,8
750,8
751,8
752,1
753,1
754,1
755,8
756,2
757,6
758,4
759,1
760,1
761,7
762,8
763,2
764,0
765,7
766,3
767,2
768,2
769,2
770,1
771,2
772,1
773,1
774,2
775,1
776,6
777,2
778,2
779,8
780,6
781,7
782,1
783,0
784,2
785,2
786,7
787,2
788,8
789,8
790,1
791,2
792,2
793,7
794,2
795,3
796,3
797,6
798,6
799,2
800,1
801,8
802,6
803,8
804,2
805,0
806,7
807,1
808,8
809,7
810,1
811,3
812,1
813,0
814,1
815,2
816,0
817,6
818,8
819,1
820,5
821,3
822,8
823,6
824,9
825,6
826,2
827,8
828,7
829,3
830,0
831,0
832,1
833,9
834,8
835,7
836,7
837,2
838,7
839,9
840,5
841,4
842,5
843,5
844,0
845,0
846,6
847,1
848,6
849,2
850,5
851,4
852,7
853,6
854,1
855,3
856,6
857,2
858,5
859,8
860,7
861,1
862,8
863,5
864,8
865,1
866,8
867,8
868,2
869,1
870,2
871,5
872,6
873,8
874,1
875,1
876,8
877,0
878,2
879,8
880,1
881,0
882,2
883,0
884,1
885,2
886,2
887,3
888,7
889,2
890,8
891,3
892,1
893,2
894,5
895,1
896,1
897,2
898,3
899,6
900,7
901,5
902,8
903,8
904,9
905,8
906,1
907,6
908,0
909,6
910,7
911,1
912,2
913,2
914,1
915,2
916,2
917,1
918,5
919,2
920,2
921,6
922,8
923,8
924,0
925,2
926,1
927,1
928,2
929,1
930,6
931,2
932,1
933,6
934,1
935,3
936,2
937,8
938,6
939,9
940,2
941,1
942,4
943,3
944,8
945,0
946,2
947,7
948,4
949,8
950,1
951,7
952,0
953,3
954,0
955,0
956,0
957,2
958,7
959,1
960,1
961,6
962,9
963,3
964,3
965,2
966,2
967,1
968,7
969,8
970,5
971,4
972,2
973,3
974,8
975,9
976,4
977,3
978,6
979,1
980,3
981,7
982,8
983,7
984,0
985,1
986,7
987,8
988,0
989,6
990,9
991,0
992,7
993,8
994,6
995,1
996,8
997,3
998,8
999,7
1000,3
1001,9
1002,8
1003,0
1004,6
1005,2
1006,7
1007,0
1008,7
1009,8
1010,1
1011,0
1012,3
1013,9
1014,7
1015,3
1016,1
1017,2
1018,8
1019,5
1020,8
1021,1
1022,2
1023,2
1024,2
1025,0
1026,2
1027,1
1028,7
1029,0
1030,3
1031,3
1032,7
1033,1
1034,9
1035,7
1036,0
1037,1
1038,1
1039,2
1040,1
1041,9
1042,2
1043,7
1044,1
1045,1
1046,4
1047,3
1048,7
1049,8
1050,2
1051,8
1052,3
1053,2
1054,2
1055,3
1056,1
1057,2
1058,1
1059,5
1060,2
1061,1
1062,0
1063,7
1064,9
1065,3
1066,1
1067,0
1068,7
1069,4
1070,8
1071,1
1072,7
1073,1
1074,7
1075,7
1076,2
1077,3
1078,1
1079,3
1080,0
1081,3
1082,2
1083,2
1084,2
1085,0
1086,8
1087,1
1088,2
1089,8
1090,1
1091,0
1092,8
1093,6
1094,0
1095,8
1096,2
1097,8
1098,3
1099,7
1100,7
1101,2
1102,1
1103,8
1104,7
1105,6
1106,8
1107,8
1108,1
1109,8
1110,4
1111,0
1112,3
1113,8
1114,2
1115,1
1116,0
1117,6
1118,8
1119,8
1120,5
1121,4
1122,1
1123,8
1124,8
1125,2
1126,2
1127,7
1128,4
1129,2
1130,4
1131,2
1132,0
1133,6
1134,3
1135,3
1136,1
1137,0
1138,1
1139,8
1140,7
1141,2
1142,7
1143,9
1144,8
1145,1
1146,7
1147,8
1148,2
1149,7
1150,9
1151,8
1152,3
1153,7
1154,5
1155,6
1156,6
1157,2
1158,3
1159,1
1160,1
1161,6
1162,7
1163,3
1164,8
1165,3
1166,2
1167,8
1168,1
1169,7
1170,4
1171,3
1172,7
1173,8
1174,8
1175,6
1176,2
1177,3
1178,6
1179,2
1180,6
1181,0
1182,2
1183,8
1184,8
1185,2
1186,2
1187,4
1188,8
1189,1
1190,2
1191,7
1192,4
1193,9
1194,2
1195,2
1196,3
1197,0
1198,0
1199,3
1200,6
1201,2
1202,1
1203,0
1204,1
1205,3
1206,2
1207,3
1208,7
1209,1
1210,9
1211,0
1212,3
1213,1
1214,4
1215,4
1216,3
1217,7
1218,6
1219,0
1220,6
1221,7
1222,2
1223,0
1224,5
1225,3
1226,4
1227,6
1228,9
1229,2
1230,2
1231,1
1232,2
1233,7
1234,3
1235,9
1236,2
1237,9
1238,7
1239,1
1240,8
1241,2
1242,5
1243,0
1244,9
1245,0
1246,8
1247,7
1248,4
1249,9
1250,8
1251,2
1252,1
1253,0
1254,7
1255,0
1256,1
1257,2
